,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,"156,1000","4,07","157,2000","151,1000",192.222,"29.865,06",09/03/2022,17:35:16
1,ACERINOX,"9,7200","1,46","9,8820","9,3660",2.071.227,"20.034,38",09/03/2022,17:35:16
2,ACS,"22,7100","4,61","22,9900","22,1900",1.423.545,"32.270,44",09/03/2022,17:35:16
3,AENA,"134,3500","6,29","135,4000","130,6000",201.072,"26.903,78",09/03/2022,17:35:16
4,ALMIRALL,"11,1600","2,76","11,2000","10,9400",319.723,"3.550,90",09/03/2022,17:35:16
5,AMADEUS,"53,8200","6,74","54,0600","50,7800",1.813.087,"95.882,73",09/03/2022,17:35:16
6,ARCELORMIT.,"26,9850","3,19","27,0300","25,3800",1.421.135,"37.490,06",09/03/2022,17:35:16
7,B.SANTANDER,"2,8925","7,25","2,8925","2,7760",83.238.377,"237.388,14",09/03/2022,17:35:16
8,BA.SABADELL,"0,6588","8,68","0,6620","0,6220",76.445.928,"49.412,43",09/03/2022,17:35:16
9,BANKINTER,"4,6800","8,56","4,6800","4,4660",6.300.677,"28.971,11",09/03/2022,17:35:16
10,BBVA,"4,9950","8,67","5,0010","4,7420",42.279.913,"206.942,40",09/03/2022,17:35:16
11,CAIXABANK,"2,8380","7,22","2,8400","2,7260",41.603.249,"116.530,94",09/03/2022,17:35:16
12,CELLNEX,"42,2000","1,47","43,0500","40,7700",2.900.528,"122.424,14",09/03/2022,17:35:16
13,CIE AUTOMOT.,"20,0600","5,75","20,0600","19,1100",511.484,"10.079,30",09/03/2022,17:35:16
14,ENAGAS,"20,1200","1,44","20,4600","19,7700",2.569.749,"51.643,00",09/03/2022,17:35:16
15,ENDESA,"18,7750","3,82","18,7750","18,2350",2.129.778,"39.479,29",09/03/2022,17:35:16
16,FERROVIAL,"24,1800","4,86","24,4100","23,3900",2.541.209,"61.034,33",09/03/2022,17:35:16
17,FLUIDRA,"24,8000","7,36","24,9000","23,3000",606.565,"14.742,63",09/03/2022,17:35:16
18,GRIFOLS CL.A,"16,5550","4,78","16,5550","15,9050",1.175.928,"19.204,24",09/03/2022,17:35:16
19,IAG,"1,6005","9,66","1,6265","1,5060",48.310.294,"75.995,02",09/03/2022,17:35:16
20,IBERDROLA,"9,8000","3,81","9,8000","9,4820",21.559.452,"209.449,19",09/03/2022,17:35:16
21,INDITEX,"22,6400","6,79","22,8700","21,7700",10.165.581,"226.673,03",09/03/2022,17:35:16
22,INDRA A,"8,8550","7,86","8,8650","8,3750",1.194.425,"10.427,73",09/03/2022,17:35:16
23,INM.COLONIAL,"7,6500","4,44","7,6600","7,3500",1.606.335,"12.167,69",09/03/2022,17:35:16
24,MAPFRE,"1,7415","4,16","1,7570","1,7180",6.589.729,"11.461,71",09/03/2022,17:35:16
25,MELIA HOTELS,"6,0860","8,21","6,1660","5,7740",2.338.909,"13.976,85",09/03/2022,17:35:16
26,MERLIN,"9,4440","5,64","9,4980","9,1280",1.161.629,"10.917,22",09/03/2022,17:35:16
27,NATURGY,"25,0200","4,08","25,1300","24,1900",971.755,"24.148,31",09/03/2022,17:35:16
28,PHARMA MAR,"59,3600","5,85","59,8000","56,7800",102.998,"6.047,75",09/03/2022,17:35:16
29,R.E.C.,"17,9100","2,84","17,9400","17,4600",2.312.912,"41.184,11",09/03/2022,17:35:16
30,REPSOL,"11,8500","-3,20","12,4680","11,7860",15.436.946,"186.017,18",09/03/2022,17:35:16
31,ROVI,"69,5000","5,30","69,7000","65,8000",160.944,"10.984,71",09/03/2022,17:35:16
32,SIEMENS GAME,"19,1550","-2,52","20,8200","18,8300",2.378.224,"46.028,72",09/03/2022,17:35:16
33,SOLARIA,"19,9600","1,22","21,2100","19,0750",3.227.841,"65.086,24",09/03/2022,17:35:16
34,TELEFONICA,"3,9695","2,96","3,9895","3,9050",19.394.951,"76.716,62",09/03/2022,17:35:16
